Name,Longitude,Latitude,Altitude,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Arica,-70.300,-18.467,25,4.94,5.28,5.00,4.33,4.06,3.98,4.34,4.71,4.39,4.21,4.01,4.61,4.53
Belterra,-54.950,-2.633,70,3.97,3.71,3.99,3.56,3.64,3.23,3.34,3.82,4.52,5.26,5.45,5.31,4.26
Campo_Grande_SONDA,-54.533,-20.433,677,2.94,2.99,2.87,2.83,2.68,2.75,2.79,3.40,5.98,4.38,3.12,2.99,3.42
Sao_Paulo,-46.733,-23.550,865,3.65,3.65,3.72,3.71,3.34,3.67,3.46,3.93,4.53,4.63,3.84,3.68,3.85
Skukuza,31.583,-24.983,150,3.62,3.54,3.49,3.52,3.19,3.20,3.17,3.86,4.18,4.23,3.76,3.72,3.67
Birdsville,139.333,-25.883,46,2.88,2.96,2.68,2.45,2.25,2.19,2.20,2.27,2.77,3.03,2.61,3.22,2.57
Wits_University,28.017,-26.183,1775,3.28,3.17,3.24,2.92,2.79,2.62,2.79,3.09,3.33,3.36,3.06,2.99,3.05
Tinga_Tingana,139.983,-28.967,38,3.66,3.09,2.78,2.60,2.45,2.28,2.21,2.34,2.67,2.85,3.05,3.33,2.75
Cordoba-CETT,-64.450,-31.517,730,3.19,3.07,2.83,2.68,2.54,2.51,2.54,2.91,3.27,3.13,2.97,3.17,2.93
Rottnest_Island,115.500,-32.000,70,2.89,2.90,2.73,2.67,2.93,2.96,2.87,2.59,2.67,2.75,2.76,2.70,2.77
CEILAP-BA,-58.500,-34.567,10,3.26,3.13,3.06,2.94,2.94,2.91,2.89,3.33,3.16,3.07,2.90,3.09,3.08
Canberra,149.100,-35.267,600,2.86,2.81,2.59,2.53,2.39,2.22,2.13,2.39,2.41,2.52,2.55,2.70,2.47
Trelew,-65.300,-43.233,15,2.54,2.70,2.54,2.35,2.47,2.33,2.25,2.23,2.40,2.27,2.36,2.48,2.42
Dunedin,170.500,-45.850,43,2.70,2.73,2.61,2.56,2.40,2.31,2.23,2.38,2.50,2.69,2.63,3.05,2.60
CEILAP-RG,-69.317,-51.600,15,2.52,2.42,2.41,2.28,2.24,2.29,2.24,2.24,2.36,2.37,2.40,2.41,2.38
Ascension_Island,-14.400,-7.967,30,4.32,4.60,4.38,3.88,3.78,3.72,4.29,4.46,4.50,3.71,3.42,3.79,4.11
Petrolina_SONDA,-40.500,-9.367,370,3.54,3.47,3.42,3.01,2.90,2.76,2.71,2.85,3.35,3.38,3.36,3.65,3.25
Alta_Floresta,-56.100,-9.867,277,3.57,3.33,3.17,3.14,3.23,3.08,3.25,6.39,8.76,5.67,4.98,4.17,4.73
Rio_Branco,-67.867,-9.950,212,3.45,3.19,3.37,3.13,3.12,3.13,3.50,4.73,6.76,4.53,3.86,3.56,4.00
Singapore,103.767,1.283,30,5.26,5.37,5.21,4.96,4.94,4.56,4.81,5.09,4.96,5.53,5.10,4.77,5.03
Ouagadougou,-1.383,12.183,290,8.35,9.58,14.24,11.10,10.85,9.59,7.48,6.70,7.05,8.47,6.95,5.83,8.75
Barbados,-59.600,13.150,114,3.34,3.79,4.14,4.30,5.45,7.30,5.96,4.48,3.85,3.47,3.55,3.48,4.35
DMN_Maine_Soroa,12.017,13.217,350,7.32,8.10,10.33,11.11,16.77,11.36,8.17,6.13,7.11,6.03,4.70,5.00,8.23
IER_Cinzana,-5.933,13.267,285,7.56,8.18,11.53,11.41,9.92,11.91,7.75,6.29,6.99,7.54,5.92,5.66,8.26
Banizoumbou,2.650,13.533,250,7.82,9.52,14.02,13.49,11.30,11.83,8.35,6.45,7.08,8.51,6.80,5.23,9.05
Silpakorn_Univ,100.033,13.817,72,5.81,6.33,6.06,5.53,5.43,4.03,3.87,3.82,4.07,5.84,5.15,5.37,5.38
Dakar,-16.950,14.383,0,6.59,7.43,9.83,8.04,9.47,11.54,10.19,8.59,7.95,8.00,5.64,5.16,8.10
Pimai,102.550,15.167,220,4.44,5.75,6.48,5.26,4.70,4.39,4.05,3.85,3.81,5.24,4.45,4.33,4.85
Agoufou,-1.467,15.333,305,7.13,8.03,11.35,11.54,11.63,13.91,10.19,8.58,7.93,7.51,5.79,5.10,8.98
Mukdahan,104.667,16.600,166,4.67,5.99,7.14,5.93,4.68,4.39,4.11,3.90,5.21,5.47,4.47,4.32,5.15
Capo_Verde,-22.933,16.717,60,6.02,6.36,6.12,5.65,7.07,10.13,10.02,8.51,8.92,6.69,5.51,5.25,7.14
La_Parguera,-67.033,17.967,12,3.24,3.34,3.59,3.69,4.40,5.46,5.53,4.72,3.94,3.61,3.39,3.22,4.01
Cape_San_Juan,-65.617,18.383,15,3.39,3.19,3.91,3.81,4.72,5.71,6.49,5.34,4.68,4.35,3.61,3.39,4.34
Chiang_Mai_Met_Sta,98.967,18.767,312,4.33,5.92,7.86,7.10,6.34,4.54,3.84,3.84,4.44,5.58,4.23,4.49,5.49
Mexico_City,-99.167,19.333,2268,3.66,3.72,3.72,4.23,4.67,4.53,4.26,4.27,4.70,3.99,3.87,3.68,4.10
Mauna_Loa,-155.567,19.533,3397,1.96,1.96,2.03,2.12,2.08,2.07,1.99,1.98,1.98,1.98,1.98,1.96,2.04
Lanai,-156.917,20.733,20,3.04,3.13,3.29,3.50,3.35,3.08,3.01,3.12,2.96,3.11,3.01,3.11,3.18
Bac_Giang,106.217,21.283,15,7.51,8.44,7.75,6.97,5.81,6.06,4.62,7.01,7.24,10.21,7.62,7.03,7.26
Coconut_Island,-157.783,21.417,0,3.25,3.54,3.53,3.53,3.49,3.16,3.33,3.22,3.12,3.30,3.49,3.23,3.36
Hamim,54.283,22.967,209,3.81,5.10,6.33,6.72,6.74,9.42,9.20,8.28,6.11,4.44,3.94,4.10,5.91
Dahkla,-15.933,23.717,12,3.83,5.00,4.29,3.92,4.24,6.37,10.64,8.43,9.82,4.95,3.55,3.45,5.51
Mussafa,54.467,24.367,10,4.66,5.35,5.96,6.50,6.86,6.28,11.49,7.39,6.07,5.07,4.56,4.74,6.06
Dhabi,54.367,24.467,15,4.26,4.82,6.40,7.58,7.34,8.62,9.60,8.16,5.90,4.75,4.55,4.95,6.23
Dry_Tortugas,-82.867,24.617,0,3.02,3.32,3.45,3.63,3.74,3.90,4.29,3.83,3.70,3.32,3.13,3.24,3.55
Karachi,67.017,24.867,49,4.93,5.11,6.70,8.38,9.73,12.90,16.03,10.75,8.99,6.67,5.31,4.64,7.89
Solar_Village,46.383,24.900,764,3.71,5.14,5.85,7.40,9.05,7.05,6.49,5.95,5.22,4.15,4.13,3.84,5.50
NCU_Taiwan,121.183,24.967,171,5.51,5.50,6.35,6.63,6.23,4.61,5.02,5.04,4.87,4.86,4.52,4.20,5.30
EPA-NCU,121.183,24.967,144,4.48,5.47,6.85,6.12,5.61,5.28,4.76,5.31,5.71,5.06,4.49,4.05,5.30
Taipei_CWB,121.500,25.017,26,4.88,5.88,6.65,7.04,5.53,5.38,5.15,5.57,4.73,4.53,5.12,4.52,5.44
Abu_Al_Bukhoosh,53.133,25.483,24,3.74,4.65,7.49,9.30,8.23,9.00,9.79,8.27,7.14,5.36,4.30,4.31,6.48
Dhadnah,56.317,25.500,81,3.86,4.82,6.29,6.67,7.03,7.76,10.02,8.75,6.87,5.17,4.38,4.24,6.10
Bahrain,50.600,26.200,25,3.97,4.64,5.67,6.52,7.27,6.87,8.40,6.96,5.90,4.43,3.85,3.65,5.50
BAHRAIN,50.600,26.200,25,4.60,5.50,6.06,7.87,9.04,7.56,9.32,7.30,5.48,5.32,5.12,4.22,6.25
Kanpur,80.217,26.500,123,6.42,5.60,5.97,8.05,11.29,11.72,9.12,7.18,6.39,6.67,6.76,6.46,7.48
Midway_Island,-177.367,28.200,20,3.53,3.62,3.82,4.02,3.84,3.56,3.34,3.31,3.28,3.31,3.33,3.44,3.49
Izana,-16.483,28.300,2391,2.15,1.95,2.17,2.40,2.23,2.22,3.15,3.24,2.92,2.32,2.20,2.20,2.41
La_Laguna,-16.317,28.467,568,3.19,2.97,4.43,3.80,3.04,3.35,5.42,4.98,3.70,3.21,3.32,3.08,3.69
Santa_Cruz_Tenerife,-16.233,28.467,52,3.48,2.76,3.78,3.10,3.14,2.98,4.52,4.82,4.52,3.73,3.99,3.53,3.63
Hermosillo,-110.950,29.067,237,2.53,2.45,2.77,2.81,3.14,3.56,3.46,3.62,3.33,2.85,2.92,2.42,3.06
Eilat,34.917,29.500,15,2.99,3.34,4.46,3.58,4.49,4.49,3.39,3.50,4.24,4.01,3.24,3.23,3.69
Univ_of_Houston,-95.333,29.717,65,2.50,2.81,3.01,3.40,4.27,4.64,5.06,4.76,4.10,3.38,3.24,2.53,3.61
Stennis,-89.617,30.367,20,2.53,2.82,3.00,3.43,3.87,4.10,4.77,4.51,3.81,3.18,2.81,2.66,3.49
SEDE_BOKER,34.767,30.850,480,3.08,3.36,3.85,4.81,4.75,3.57,3.63,3.73,3.87,3.97,3.30,2.97,3.70
Taihu,120.200,31.417,20,7.48,7.20,8.31,9.66,9.21,11.92,9.01,7.82,8.65,7.41,7.74,7.02,8.48
Saada,-8.150,31.617,420,3.52,4.34,3.03,4.97,6.35,5.25,6.11,6.04,5.47,4.50,3.30,3.03,4.56
Ras_El_Ain,-7.583,31.667,570,3.45,2.86,3.32,3.87,4.54,4.65,8.12,6.08,5.34,5.09,3.40,3.05,4.31
Nes_Ziona,34.783,31.917,40,3.51,4.00,4.38,5.28,4.84,3.63,4.17,4.09,4.07,4.34,3.71,3.61,4.14
Tucson,-110.950,32.217,779,2.33,2.36,2.56,2.79,3.00,3.22,3.34,3.38,2.92,2.59,2.38,2.35,2.79
Bermuda,-64.683,32.367,10,3.09,3.38,3.27,3.74,4.00,3.70,3.98,3.53,3.58,3.47,3.09,3.32,3.55
White_Sands_HEL.,-106.333,32.633,1207,2.28,2.20,2.48,2.88,3.00,3.02,3.16,3.09,2.74,2.36,2.38,2.26,2.69
La_Jolla,-117.250,32.867,115,2.71,2.68,3.04,3.36,3.42,3.21,3.28,3.12,2.91,3.05,2.75,2.52,2.98
Maricopa,-111.967,33.067,360,2.50,2.50,2.73,2.97,3.04,2.93,3.27,3.17,2.88,2.80,2.55,2.39,2.82
San_Nicolas,-119.483,33.250,133,2.49,2.51,2.92,3.14,2.96,2.83,2.87,2.72,2.91,2.84,2.50,2.38,2.77
Gosan_SNU,126.150,33.283,72,4.14,4.84,5.34,6.05,5.81,5.83,5.33,4.96,4.32,3.37,3.35,3.83,4.72
Shirahama,135.350,33.683,10,3.27,3.49,4.25,5.17,5.07,5.46,5.00,4.57,4.25,3.50,3.40,3.05,4.22
Columbia_SC,-81.033,34.017,104,2.50,2.51,3.29,3.71,4.66,4.38,5.03,4.56,3.77,4.03,2.80,2.43,3.65
UCLA,-118.450,34.067,131,2.91,2.82,3.32,3.74,3.77,3.85,3.71,3.34,3.48,3.64,2.94,2.86,3.37
Sevilleta,-106.883,34.350,1477,2.15,2.23,2.45,2.69,2.82,3.04,3.02,2.86,2.71,2.44,2.25,2.22,2.54
TABLE_MOUNTAIN_CA,-117.667,34.367,2200,2.07,2.07,2.26,2.41,2.55,2.49,2.57,2.39,2.29,2.16,2.11,2.00,2.26
UCSB,-119.833,34.400,33,2.50,2.48,2.90,3.51,3.82,3.43,3.68,3.50,3.21,3.30,2.61,2.54,3.09
Osaka,135.583,34.650,50,3.58,3.76,4.69,6.00,5.12,5.59,5.57,4.47,4.20,3.87,3.77,3.21,4.50
Rogers_Dry_Lake,-117.883,34.917,680,2.33,2.43,2.70,3.02,3.01,2.88,2.92,2.84,2.59,2.63,2.39,2.25,2.68
Gwangju_K-JIST,126.833,35.217,52,4.41,4.57,5.79,6.33,5.94,7.70,5.94,4.92,4.86,4.31,4.66,4.21,5.37
FORTH_CRETE,25.267,35.317,20,3.11,3.19,3.78,4.07,4.02,3.68,3.57,3.53,3.83,3.76,3.33,3.23,3.58
Lampedusa,12.617,35.517,45,2.76,3.00,4.21,3.64,3.99,3.77,4.69,4.21,4.24,3.89,3.19,2.80,3.67
Walker_Branch,-84.283,35.950,365,2.40,2.57,2.81,3.32,3.83,4.11,4.40,4.68,3.38,2.94,2.50,2.36,3.32
Blida,2.867,36.500,230,2.94,3.27,3.98,4.08,5.42,5.05,6.40,5.52,4.94,3.92,3.23,2.90,4.25
Anmyon,126.317,36.533,47,4.63,4.67,5.85,6.35,6.19,6.90,6.81,4.83,3.64,4.17,3.98,3.92,5.18
IMS-METU-ERDEMLI,34.250,36.550,3,2.89,3.40,3.75,4.95,4.39,4.40,4.55,5.08,4.27,3.88,3.33,2.96,4.00
Monterey,-121.850,36.583,50,2.82,2.68,2.96,3.34,3.41,3.25,3.52,2.86,3.04,2.80,2.83,2.64,3.00
Cart_Site,-97.483,36.600,318,2.55,2.72,2.86,3.31,3.76,3.60,3.77,3.92,3.40,2.86,2.62,2.44,3.21
Fresno,-119.767,36.767,0,3.35,3.13,3.25,3.56,3.31,3.15,3.18,3.11,3.35,3.41,3.58,3.11,3.27
Frenchman_Flat,-115.933,36.800,940,2.25,2.21,2.36,2.80,3.04,2.74,3.10,2.87,2.51,2.40,2.28,2.22,2.60
COVE,-75.700,36.883,37,2.48,2.55,2.71,3.29,3.80,4.10,4.50,4.67,3.48,2.84,2.60,2.42,3.33
COVE_SEAPRISM,-75.700,36.883,24,2.55,2.62,2.89,3.52,3.40,4.31,4.24,4.56,3.44,2.93,2.56,2.43,3.30
El_Arenosillo,-6.733,37.100,0,2.94,3.15,3.47,3.26,3.51,3.70,3.59,3.70,3.77,3.24,2.87,2.76,3.34
Granada,-3.600,37.150,680,2.58,3.00,2.97,3.35,3.85,3.81,4.38,3.82,4.13,3.50,2.62,2.73,3.30
Red_Mountain_Pass,-107.717,37.900,3368,1.99,1.95,2.00,2.22,2.33,2.37,2.71,2.70,1.99,2.04,1.96,1.95,2.16
Wallops,-75.467,37.933,10,2.49,2.57,2.92,3.32,3.71,4.10,4.30,4.53,3.38,2.82,2.65,2.48,3.31
Messina,15.567,38.183,15,2.99,3.70,5.04,4.10,4.12,3.95,3.93,3.53,4.30,4.01,3.30,3.19,3.80
Railroad_Valley,-115.950,38.500,1435,2.21,2.22,2.42,2.83,2.86,2.66,2.94,2.73,2.45,2.28,2.19,2.19,2.54
Azores,-28.617,38.517,50,3.78,3.59,3.59,3.69,3.52,3.38,3.33,3.24,3.14,3.25,3.37,3.15,3.37
Evora,-7.900,38.567,293,2.65,3.21,2.91,3.37,3.43,3.27,3.21,3.49,3.35,3.01,2.64,2.54,3.07
Cabo_da_Roca,-9.500,38.767,140,2.89,3.12,3.34,3.44,3.63,3.60,3.62,3.49,3.65,3.04,2.70,2.85,3.28
SERC,-76.500,38.883,10,2.58,2.62,2.96,3.42,3.73,4.12,4.58,4.54,3.39,2.99,2.68,2.51,3.40
GSFC,-76.833,38.983,87,2.44,2.63,2.91,3.32,3.72,4.25,4.57,4.57,3.50,2.88,2.58,2.46,3.36
USDA-BARC,-76.917,39.017,46,2.68,2.57,2.92,3.13,2.93,3.78,4.62,4.69,4.11,3.22,2.62,2.60,3.34
KONZA_EDC,-96.600,39.100,341,2.39,2.51,2.88,3.27,3.37,3.43,3.73,3.61,3.21,2.74,2.45,2.35,3.02
MD_Science_Center,-76.617,39.267,15,2.44,2.56,2.85,3.28,3.81,4.30,4.35,4.53,3.27,2.85,2.66,2.42,3.29
Caceres,-6.333,39.467,397,2.94,2.92,2.62,3.08,3.07,2.82,2.79,3.49,3.20,2.75,2.51,2.55,2.86
XiangHe,116.950,39.750,36,6.09,6.62,7.41,8.85,8.81,9.80,11.00,8.81,7.29,7.13,6.06,5.69,7.85
Beijing,116.367,39.967,92,5.83,5.92,7.97,9.96,9.11,10.44,8.97,8.19,7.23,7.27,6.22,5.45,7.73
MALE,73.517,4.183,2,4.61,4.38,4.75,3.83,4.22,4.70,5.18,4.60,4.37,4.34,4.11,3.90,4.40
Kaashidhoo,73.450,4.950,0,4.09,4.37,4.71,4.76,4.56,4.20,5.37,4.08,3.61,3.67,3.85,3.90,4.26
BSRN_BAO_Boulder,-105.000,40.033,1604,2.23,2.28,2.50,2.90,2.88,3.10,3.09,2.97,2.65,2.43,2.23,2.23,2.63
BONDVILLE,-88.367,40.050,212,2.62,2.65,2.97,3.40,3.96,3.81,4.16,4.10,3.94,3.04,2.70,2.50,3.36
Lecce_University,18.100,40.333,30,3.02,3.15,3.34,3.65,3.84,3.96,3.73,3.93,3.75,3.83,3.54,3.21,3.57
Xinglong,117.567,40.383,970,3.67,3.73,4.89,7.35,7.03,5.40,5.42,4.88,4.18,3.74,3.31,3.40,4.70
IMAA_Potenza,15.717,40.600,820,2.51,2.50,2.78,2.99,3.61,3.45,3.53,3.34,3.31,2.96,2.45,2.55,3.00
Thessaloniki,22.950,40.617,60,2.94,3.14,3.43,3.70,4.16,4.39,4.29,4.13,3.83,3.87,3.31,3.04,3.66
GISS,-73.950,40.783,50,2.37,2.54,2.68,3.09,3.44,4.27,4.03,3.92,2.97,2.79,2.92,2.38,3.15
CCNY,-73.933,40.817,100,2.48,2.54,2.93,3.39,3.80,4.22,4.50,4.21,3.36,2.95,2.78,2.51,3.36
Brookhaven,-72.883,40.867,33,2.42,3.06,3.03,3.22,4.17,3.85,3.85,3.76,3.17,2.75,2.51,2.70,3.28
Trinidad_Head,-124.150,41.050,105,2.47,2.53,3.06,3.27,3.17,2.99,3.58,3.12,3.01,2.75,2.53,2.62,2.94
MVCO,-70.533,41.283,10,2.50,2.38,2.89,3.00,3.23,4.12,4.74,3.34,2.77,2.63,2.31,2.25,2.96
Barcelona,2.117,41.383,125,2.77,3.15,3.16,3.65,3.68,3.92,3.98,3.80,3.85,3.78,2.86,2.64,3.42
Rome_Tor_Vergata,12.633,41.833,130,2.75,3.14,3.49,3.62,3.77,4.06,3.75,3.83,3.51,3.65,3.29,2.97,3.48
Palencia,-4.500,41.983,750,2.56,2.75,2.95,2.98,3.03,3.05,2.97,3.01,3.00,2.85,2.56,2.46,2.85
Ames,-93.767,42.017,338,2.67,2.39,2.54,3.06,3.20,3.38,3.79,3.43,3.42,2.86,2.75,2.38,3.00
Harvard_Forest,-72.183,42.517,322,2.26,2.47,2.62,2.95,2.94,3.76,3.60,3.31,2.95,2.75,2.36,2.27,2.86
Billerica,-71.267,42.517,82,2.38,2.42,2.67,3.03,3.25,3.43,3.82,3.44,2.99,2.58,2.43,2.34,2.96
Thompson_Farm,-70.933,43.100,26,2.59,2.41,2.61,2.64,3.31,4.30,4.65,4.08,3.59,2.86,2.80,2.74,3.20
Toulon,6.000,43.133,50,2.65,2.97,3.02,3.40,3.22,3.56,3.22,2.99,3.31,3.31,2.73,2.68,3.07
Le_Fauga,1.283,43.383,193,2.88,3.01,3.12,3.32,3.34,3.73,3.54,3.26,3.28,3.05,2.75,2.75,3.19
Dalanzadgad,104.417,43.567,1470,2.17,2.47,3.13,3.63,3.55,3.47,3.02,2.96,2.61,2.36,2.25,2.18,2.78
Villefranche,7.317,43.683,130,2.78,3.22,3.12,3.21,3.47,3.87,3.60,3.40,3.71,3.51,3.05,2.46,3.33
Ussuriysk,132.150,43.700,280,3.97,3.03,4.11,5.53,4.40,4.13,4.27,3.92,3.29,3.08,3.85,3.48,3.90
Sioux_Falls,-96.617,43.733,500,2.41,2.53,2.86,3.17,3.23,3.28,3.41,3.60,2.86,2.72,2.53,2.47,2.94
Avignon,4.867,43.917,32,2.75,3.04,3.18,3.28,3.45,3.53,3.23,3.39,3.29,3.27,2.85,2.76,3.17
OHP_OBSERVATOIRE,5.700,43.933,680,2.26,2.53,2.42,2.77,3.10,3.14,2.80,2.70,2.87,2.80,2.36,2.21,2.69
Toronto,-79.467,43.967,300,2.31,2.33,2.57,3.34,3.46,3.76,3.54,3.12,3.18,3.05,2.52,2.35,2.94
Carpentras,5.050,44.067,100,2.66,3.02,3.08,3.21,3.48,3.44,3.29,3.25,3.32,3.26,2.76,2.57,3.11
Egbert,-79.750,44.217,264,2.42,2.48,2.66,2.85,3.15,3.25,3.22,3.12,2.86,2.86,2.75,2.48,2.88
Kejimkujik,-65.267,44.367,154,2.76,2.87,2.86,3.27,3.03,3.49,3.16,3.21,3.92,3.08,3.09,3.29,3.17
Sevastopol,33.517,44.600,80,2.60,3.14,3.58,3.49,3.60,3.59,3.36,3.80,3.34,3.16,3.08,2.90,3.34
Modena,10.933,44.617,56,3.72,3.76,4.23,3.96,3.83,4.46,4.23,3.63,3.92,5.59,2.61,3.23,3.90
Halifax,-63.583,44.633,65,2.40,2.49,2.51,2.80,3.01,3.25,3.32,3.12,2.77,2.53,2.49,2.37,2.78
BORDEAUX,-0.567,44.783,40,2.98,3.36,3.48,3.54,3.48,3.92,3.73,3.97,3.21,3.64,2.97,3.04,3.45
Howland,-68.717,45.200,100,2.29,2.31,2.48,2.74,3.06,3.14,3.26,2.90,2.75,2.53,2.39,2.28,2.67
Venise,12.500,45.300,10,3.02,3.43,3.80,3.82,4.08,4.11,3.84,3.79,3.73,4.26,3.37,2.86,3.66
CARTEL,-71.917,45.367,300,2.30,2.57,2.56,2.86,3.15,3.61,3.40,3.19,2.96,2.57,2.45,2.44,2.87
ISDGM_CNR,12.317,45.433,20,3.26,3.18,4.18,3.81,3.99,4.89,4.27,4.13,3.85,4.31,3.47,2.82,3.87
Ispra,8.617,45.800,235,2.99,3.70,4.04,4.41,4.44,4.63,4.14,3.97,4.23,4.19,2.91,2.73,3.89
Chequamegon,-90.250,45.917,0,2.08,2.60,2.74,3.20,3.57,3.18,3.11,3.27,3.12,2.57,2.51,2.25,2.80
Rimrock,-116.983,46.483,824,2.33,2.46,2.59,3.16,2.99,2.78,2.87,3.03,2.84,2.54,2.53,2.28,2.66
Davos,9.833,46.800,1596,2.26,2.11,2.32,2.49,2.97,3.12,2.76,2.63,2.91,2.57,2.18,2.13,2.53
Missoula,-114.083,46.917,1028,2.41,2.47,2.69,2.93,2.96,2.85,2.94,3.44,2.97,2.51,2.61,2.46,2.81
Moldova,28.800,47.000,205,2.80,3.10,3.29,3.79,3.55,3.32,3.62,3.96,3.60,3.28,2.87,2.89,3.36
Laegeren,8.350,47.467,735,2.42,2.71,3.09,3.24,3.07,3.30,3.13,3.12,2.88,3.24,2.84,2.47,2.99
Munich_University,11.567,48.133,533,2.74,2.89,3.17,3.33,3.48,3.38,3.20,3.15,3.33,3.32,2.80,2.64,3.16
Fontainebleau,2.667,48.400,85,3.47,3.78,3.85,3.79,3.71,3.62,3.60,3.57,3.15,3.38,3.03,3.07,3.49
Palaiseau,2.200,48.700,156,3.07,3.17,3.71,3.66,3.68,3.62,3.64,3.49,3.25,3.32,2.86,2.96,3.37
Saturn_Island,-123.117,48.767,200,2.46,2.50,2.72,3.10,3.11,2.70,2.64,2.68,2.57,2.54,2.59,2.45,2.67
Paris,2.317,48.867,50,3.29,3.49,3.65,3.88,3.67,3.78,3.60,3.33,3.41,3.55,3.17,3.04,3.51
Karlsruhe,8.417,49.083,140,2.75,3.07,4.24,3.64,3.61,3.97,3.51,3.41,3.57,3.75,2.96,3.19,3.46
Kelowna,-119.367,49.950,344,2.43,2.52,2.55,2.75,2.99,2.77,2.73,2.85,2.67,2.63,2.58,2.29,2.62
Mainz,8.300,49.983,150,3.05,3.20,3.53,3.84,3.64,3.64,3.42,3.33,3.16,3.52,3.01,2.98,3.39
Surinam,-55.200,5.783,0,4.85,5.83,5.72,5.91,5.85,3.25,3.77,3.36,3.79,4.02,3.75,4.67,4.43
Bratts_Lake,-104.700,50.267,586,2.21,2.42,2.54,2.96,3.05,2.81,2.96,3.15,2.87,2.41,2.31,2.25,2.70
Lille,3.133,50.600,60,3.19,3.09,3.78,4.02,3.82,3.70,3.78,3.89,3.62,3.28,3.21,2.93,3.58
Brussels,4.333,50.767,120,3.32,4.36,3.93,4.30,3.92,4.12,3.78,3.38,3.35,3.52,3.84,2.85,3.73
Dunkerque,2.367,51.033,0,3.46,3.31,3.79,3.63,3.89,3.60,3.73,3.95,3.73,3.53,3.10,3.05,3.62
Chilbolton,-1.433,51.133,88,2.84,2.72,3.45,3.99,3.95,3.64,3.51,3.36,3.67,3.25,2.71,2.98,3.39
Oostende,2.917,51.217,23,2.89,3.22,4.37,3.90,3.71,3.60,3.44,3.58,3.59,3.53,2.97,3.09,3.48
IFT-Leipzig,12.433,51.350,125,3.08,3.04,3.62,3.61,3.63,3.64,3.51,3.79,3.44,3.33,3.20,2.86,3.43
Irkutsk,103.083,51.783,670,2.43,2.66,2.67,2.99,2.86,2.91,3.38,4.13,3.19,2.98,2.80,-,-
Belsk,20.783,51.833,190,3.03,3.19,3.75,3.94,3.38,3.25,3.58,3.62,3.59,3.33,3.39,3.09,3.46
Cabauw,4.917,51.967,-1,2.85,3.54,4.43,4.12,4.33,4.34,4.16,3.95,4.03,3.79,3.12,3.43,3.90
The_Hague,4.317,52.100,18,2.99,3.28,3.67,3.85,3.73,3.72,3.61,3.73,3.56,3.57,3.14,3.28,3.52
Hamburg,9.967,53.567,105,2.65,2.93,3.28,3.60,3.55,3.54,3.49,3.45,3.44,3.04,2.73,2.68,3.22
Waskesiu,-106.067,53.917,550,2.26,2.32,2.57,2.95,3.11,3.35,3.19,3.05,2.56,2.44,2.26,2.25,2.72
Kuujjuarapik,-77.783,55.283,0,2.38,2.53,2.63,2.74,2.65,2.67,2.70,3.01,3.01,2.64,2.38,2.23,2.63
Moscow_MSU_MO,37.500,55.700,192,2.60,3.17,3.21,3.61,3.52,3.12,3.55,3.73,3.82,3.17,2.84,2.73,3.24
Tomsk,85.033,56.467,130,3.05,2.91,2.83,2.98,3.58,3.28,3.48,3.07,3.04,2.69,2.73,2.27,2.99
